HostKey	HostRole	AspectID	TaskRef	Requirement	VerificationCommands	ExpectedResult	MaxMark
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-12	Task 11	Advanced Audit Policy, command line logging and Security log settings are applied on SHA-CL01.	Run locally: auditpol /get /category:*; wevtutil gl Security; gpresult /r	Required subcategories are enabled; Security log is at least 64 MB and overwrite mode is used.	0.30
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-13	Task 12	SHA-CL01 is configured as a WEF source and forwards relevant events to BJ-SRV01.	Run locally: gpresult /r; inspect Subscription Manager policy and WinRM service; verify on BJ-SRV01.	Current events from SHA-CL01 appear in Forwarded Events.	0.35
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-14	Task 13	Validation actions generate successful/failed logon and group/user management events used by the WEF check.	Run locally/RSAT: perform the user.sh01 successful and failed logon tests, create b4.wef.test, add/remove it from GG_B4_Standard_Users.	Actions are completed and corresponding events can be located locally or on the collector.	0.35
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-15	Task 13	Validation evidence is saved or available on SHA-CL01, including gpresult and concise notes for manual judging.	Run locally: check C:\Skills\B4 or desktop evidence provided by the participant.	Evidence supports the required security validation without relying on remote checker execution.	0.15
BJ-CL01	Branch workstation, validation, WEF source	BJ-CL01-01	Tasks 4-5	BJ-CL01 receives DHCP address and options from Beijing scope: IP 10.34.30.120–10.34.30.200, gateway 10.34.30.1, DNS 10.34.20.10/10.24.20.10, suffix nb-b4.local.	Run locally: ipconfig /all	Lease and options match the Beijing Client scope.	0.30
BJ-CL01	Branch workstation, validation, WEF source	BJ-CL01-02	Task 5	BJ-CL01 is joined to nb-b4.local and placed in OU=Beijing,OU=10-Workstations.	Run locally: systeminfo | findstr Domain; whoami /fqdn; confirm computer DN on DC if needed.	Computer account is in the required workstation OU.	0.25
BJ-CL01	Branch workstation, validation, WEF source	BJ-CL01-03	Task 8	Workstation local administrator model is applied to BJ-CL01.	Run locally: Get-LocalGroupMember Administrators; gpresult /r	Domain Admins and GG_B4_Workstation_Admins are allowed; disallowed users/groups are not local admins.	0.25
BJ-CL01	Branch workstation, validation, WEF source	BJ-CL01-04	Task 10	Microsoft Defender baseline is applied on BJ-CL01.	Run locally: Get-MpComputerStatus; Get-MpPreference	Real-time protection, schedule and exclusions match the task.	0.20
BJ-CL01	Branch workstation, validation, WEF source	BJ-CL01-05	Task 11	Advanced Audit Policy and Security log settings are applied on BJ-CL01.	Run locally: auditpol /get /category:*; wevtutil gl Security; gpresult /r	Required subcategories are enabled; Security log is at least 64 MB and overwrite mode is used.	0.20
BJ-CL01	Branch workstation, validation, WEF source	BJ-CL01-06	Task 12	BJ-CL01 is configured as a WEF source and forwards relevant events to BJ-SRV01.	Run locally: gpresult /r; inspect Subscription Manager policy and WinRM service; verify on BJ-SRV01.	Current events from BJ-CL01 appear in Forwarded Events.	0.30
INET-CL01	External validation client	INET-CL01-01	Tasks 9 and 13	From INET-CL01, management ports TCP/135, TCP/445, TCP/5985 and TCP/3389 are blocked to SHA-DC01 at 10.24.20.10.	Run locally on INET-CL01: Test-NetConnection 10.24.20.10 -Port 135/445/5985/3389	All tested connections fail; use IP addresses so result is not a DNS test.	0.25
INET-CL01	External validation client	INET-CL01-02	Tasks 9 and 13	From INET-CL01, management ports TCP/135, TCP/445, TCP/5985 and TCP/3389 are blocked to BJ-DC02 at 10.34.20.10.	Run locally on INET-CL01: Test-NetConnection 10.34.20.10 -Port 135/445/5985/3389	All tested connections fail.	0.25
INET-CL01	External validation client	INET-CL01-03	Tasks 9 and 13	From INET-CL01, management ports TCP/135, TCP/445, TCP/5985 and TCP/3389 are blocked to SHA-FS01 at 10.24.20.20.	Run locally on INET-CL01: Test-NetConnection 10.24.20.20 -Port 135/445/5985/3389	All tested connections fail.	0.25
INET-CL01	External validation client	INET-CL01-04	Tasks 9 and 13	From INET-CL01, management ports TCP/135, TCP/445, TCP/5985 and TCP/3389 are blocked to BJ-SRV01 at 10.34.20.20, including the WEF/WinRM port.	Run locally on INET-CL01: Test-NetConnection 10.34.20.20 -Port 135/445/5985/3389	All tested connections fail; BJ-SRV01 WEF exception does not allow INET-CL01.	0.35
INET-CL01	External validation client	INET-CL01-05	Task 9	External validation checks are performed by IP address and therefore do not depend on DNS for internal names.	Review validation notes/commands or run Test-NetConnection commands manually.	Checks use 10.24.20.10, 10.34.20.10, 10.24.20.20 and 10.34.20.20.	0.05
SHA-CL01	Local evidence folder C:\Skills\B4	SUB-01	Task 14	C:\Skills\B4 exists on SHA-CL01.	Run locally: Test-Path C:\Skills\B4	Folder exists.	0.10
SHA-CL01	Local evidence folder C:\Skills\B4	SUB-02	Task 14	B4-foundation.ps1 is present and reflects hostname, IP addressing, routing, AD DS, DNS, DHCP and domain join work.	Open the file and compare with the implemented configuration.	File exists and contains relevant commands/notes for foundation setup.	0.12
SHA-CL01	Local evidence folder C:\Skills\B4	SUB-03	Task 14	B4-ad-objects.ps1 is present and reflects OU, groups, users and memberships.	Open the file and compare with AD objects.	File exists and matches the implemented AD model.	0.10
SHA-CL01	Local evidence folder C:\Skills\B4	SUB-04	Task 14	B4-gpo-account-policy.ps1 and B4-gpo-local-admins.ps1 are present.	Run locally: Get-ChildItem C:\Skills\B4\B4-gpo-*.ps1	Both required GPO script files exist and are relevant.	0.12
SHA-CL01	Local evidence folder C:\Skills\B4	SUB-05	Task 14	B4-firewall-remoting.ps1 is present and covers firewall, WinRM and WEF collector exception logic.	Open the file and compare with firewall/WinRM settings.	File exists and reflects the implemented configuration.	0.12
SHA-CL01	Local evidence folder C:\Skills\B4	SUB-06	Task 14	B4-defender-baseline.ps1 is present and covers Defender baseline settings.	Open the file and compare with Defender settings.	File exists and reflects real-time protection, scan schedule and exclusion configuration.	0.10
SHA-CL01	Local evidence folder C:\Skills\B4	SUB-07	Task 14	B4-audit-policy.ps1 is present and covers Advanced Audit Policy and Security log settings.	Open the file and compare with auditpol/wevtutil results.	File exists and reflects audit and log configuration.	0.10
SHA-CL01	Local evidence folder C:\Skills\B4	SUB-08	Task 14	B4-wef.ps1 is present and covers Windows Event Collector and subscription configuration.	Open the file and compare with wecutil/Event Viewer settings.	File exists and reflects WEC, subscription and source-initiated configuration.	0.12
SHA-CL01	Local evidence folder C:\Skills\B4	SUB-09	Task 14	B4-validation.txt is present with final validation commands and short results.	Open C:\Skills\B4\B4-validation.txt.	File contains concise evidence for domain, DNS, DHCP, GPO, firewall, Defender, audit, WEF and external blocking tests.	0.12
