HostKey	AspectID	TaskRef	Category	Requirement	VerificationCommands	ExpectedResult	AwardGuidance	MaxMark
SHA-FS01	E-SHA-FS01-01	Task 11	E. Windows LAPS deployment and validation	SHA-FS01 applies LAPS policy and backs up a password to AD.	gpresult /r; from DC Get-LapsADPassword -Identity SHA-FS01	LAPS policy effective on SHA-FS01 and password object retrievable by authorized account.	Checked as member server target.	0.25
BJ-SRV01	E-BJ-SRV01-01	Task 11	E. Windows LAPS deployment and validation	BJ-SRV01 applies LAPS policy and backs up a password to AD.	gpresult /r; from DC Get-LapsADPassword -Identity BJ-SRV01	LAPS policy effective on BJ-SRV01 and password object retrievable by authorized account.	Checked as member server target.	0.20
SHA-CL01	E-SHA-CL01-01	Task 11/16	E. Windows LAPS deployment and validation	Ansible LAPS validation playbook runs and evidence contains LAPS status.	From WSL: ansible-playbook playbooks/03-laps-validation.yml; review ~/ansible-b5/reports/*/b5-evidence.txt	Playbook output and reports include LAPS checks for workstation/member targets and access-right evidence.	Report must not be a generic placeholder.	0.45
SHA-DC01	F-SHA-DC01-01	Task 12	F. AppLocker workstation control	GPO B5-AppLocker-Workstations exists and is linked to OU=10-Workstations.	Get-GPO -Name B5-AppLocker-Workstations; Get-GPInheritance 'OU=10-Workstations,DC=nb-b5,DC=local'	GPO exists and is linked to workstation OU.	Do not award if linked to servers or domain root only.	0.25
SHA-DC01	F-SHA-DC01-02	Task 12	F. AppLocker workstation control	AppLocker policy contains default allow rules and deny rules for C:\B5Blocked\* for the test group.	Get-GPOReport -Name B5-AppLocker-Workstations -ReportType XML; Get-AppLockerPolicy -Effective on workstation	Default allow rules for Windows, Program Files and local Administrators exist; deny rules for NBB5\GG_B5_AppLocker_TestUsers cover executable and script rules under C:\B5Blocked\*.	Full point requires both rule types.	0.45
BJ-CL01	F-BJ-CL01-01	Task 12	F. AppLocker workstation control	Effective AppLocker policy on BJ-CL01 is in Enforcement mode.	Get-AppLockerPolicy -Effective; gpresult /r	AppLocker policy is applied from B5-AppLocker-Workstations; Enforcement mode is active.	Audit-only is not sufficient.	0.30
BJ-CL01	F-BJ-CL01-02	Task 12	F. AppLocker workstation control	Application Identity service is automatic/running on BJ-CL01.	Get-Service AppIDSvc; Get-CimInstance Win32_Service -Filter "Name='AppIDSvc'"	AppIDSvc startup is Automatic or policy-controlled and service is running at test time.	Service must allow AppLocker enforcement.	0.20
SHA-CL01	F-SHA-CL01-01	Task 12	F. AppLocker workstation control	Application Identity and effective AppLocker policy are present on SHA-CL01.	Get-Service AppIDSvc; Get-AppLockerPolicy -Effective	SHA-CL01, as a workstation target, receives the AppLocker policy and AppIDSvc is usable.	This does not require SHA-CL01 to be an Ansible managed host.	0.20
BJ-CL01	F-BJ-CL01-03	Task 12	F. AppLocker workstation control	Required AppLocker test files exist on BJ-CL01.	Test-Path C:\B5Blocked\blocked.cmd; Test-Path C:\B5Allowed\allowed.cmd	Both files exist in the correct paths.	Content can be simple, but files must be executable script tests.	0.15
BJ-CL01	F-BJ-CL01-04	Task 12	F. AppLocker workstation control	C:\B5Blocked\blocked.cmd is blocked for user.bj01.	Run as NBB5\user.bj01: C:\B5Blocked\blocked.cmd; check AppLocker event log	Execution is blocked and AppLocker event confirms enforcement.	Do not award if blocked only because file is missing.	0.30
BJ-CL01	F-BJ-CL01-05	Task 12	F. AppLocker workstation control	C:\B5Allowed\allowed.cmd runs for user.bj01.	Run as NBB5\user.bj01: C:\B5Allowed\allowed.cmd	The allowed script runs because it is not covered by the deny rule and is permitted by effective policy.	If default rules would block this path, participant must add an appropriate allow mechanism.	0.25
SHA-CL01	F-SHA-CL01-02	Task 12/16	F. AppLocker workstation control	Ansible AppLocker validation playbook runs and reports functional results.	From WSL: ansible-playbook playbooks/04-applocker-validation.yml; review reports/BJ-CL01/b5-evidence.txt	Evidence includes effective policy/enforcement status and blocked/allowed test results.	Report must include actual collected output.	0.40
BJ-SRV01	G-BJ-SRV01-01	Task 13	G. BitLocker protected data volume	Additional disk is initialized as E: with NTFS label B5DATA.	Get-Volume; Get-Disk; Get-Partition	Volume E: exists, filesystem NTFS, label B5DATA; system disk C: is not reformatted.	Award only for the data volume.	0.30
BJ-SRV01	G-BJ-SRV01-02	Task 13	G. BitLocker protected data volume	BitLocker is enabled on E: only; C: is not encrypted as part of B5.	Get-BitLockerVolume	E: has BitLocker enabled; C: is not encrypted/modified for B5.	Do not award if only C: was encrypted.	0.35
BJ-SRV01	G-BJ-SRV01-03	Task 13	G. BitLocker protected data volume	Recovery password protector exists and is backed up to Active Directory.	manage-bde -protectors -get E:; Backup-BitLockerKeyProtector or AD recovery object check	Recovery Password protector exists for E: and corresponding recovery information is present in AD.	Award if recovery key can be retrieved by authorized administrator.	0.35
BJ-SRV01	G-BJ-SRV01-04	Task 13	G. BitLocker protected data volume	E: is protected and accessible, with no broken encryption state.	Get-BitLockerVolume -MountPoint E:; Test-Path E:\B5DATA\bitlocker-proof.txt	ProtectionStatus is On; VolumeStatus is FullyEncrypted or EncryptionInProgress; proof file is readable.	For five-hour task, EncryptionInProgress is acceptable if ProtectionStatus is On.	0.35
BJ-SRV01	G-BJ-SRV01-05	Task 13	G. BitLocker protected data volume	BitLocker proof file exists with required content.	Get-Content E:\B5DATA\bitlocker-proof.txt	File contains 'B5 BitLocker protected data volume'.	Exact wording may vary slightly only if meaning is clear.	0.15
SHA-CL01	G-SHA-CL01-01	Task 13/16	G. BitLocker protected data volume	Ansible BitLocker validation playbook runs and report contains E: status.	From WSL: ansible-playbook playbooks/05-bitlocker-validation.yml; review reports/BJ-SRV01/b5-evidence.txt	Report contains Get-BitLockerVolume/manage-bde output for E:.	A generic success line is not enough.	0.30
SHA-DC01	G-SHA-DC01-01	Task 13	G. BitLocker protected data volume	AD contains recovery information for BJ-SRV01 E: volume.	Get-ADObject -Filter 'objectClass -eq "msFVE-RecoveryInformation"' -SearchBase (Get-ADComputer BJ-SRV01).DistinguishedName	At least one BitLocker recovery information object exists for BJ-SRV01.	Award only if tied to BJ-SRV01.	0.20
SHA-DC01	H-SHA-DC01-01	Task 14	H. gMSA and scheduled task	KDS root key exists for gMSA use.	Get-KdsRootKey	KDS root key exists and permits gMSA password generation.	Lab shortcut -EffectiveTime in the past is acceptable.	0.20
SHA-DC01	H-SHA-DC01-02	Task 14	H. gMSA and scheduled task	gMSA gmsa-b5-report$ exists in the required OU with correct allowed principals.	Get-ADServiceAccount gmsa-b5-report -Properties DistinguishedName,PrincipalsAllowedToRetrieveManagedPassword	gMSA located under OU=40-B5-ServiceAccounts; PrincipalsAllowedToRetrieveManagedPassword includes GG_B5_GMSA_Hosts.	Do not award if normal user account is used instead of gMSA.	0.30
SHA-DC01	H-SHA-DC01-03	Task 14	H. gMSA and scheduled task	gMSA target hosts are members of GG_B5_GMSA_Hosts.	Get-ADGroupMember GG_B5_GMSA_Hosts	SHA-FS01$ and BJ-SRV01$ are members.	This supports per-host gMSA installation.	0.20
SHA-FS01	H-SHA-FS01-01	Task 14	H. gMSA and scheduled task	gMSA installs and tests successfully on SHA-FS01.	Install-ADServiceAccount gmsa-b5-report; Test-ADServiceAccount gmsa-b5-report	Test-ADServiceAccount returns True on SHA-FS01.	Checked on SHA-FS01 only.	0.20
BJ-SRV01	H-BJ-SRV01-01	Task 14	H. gMSA and scheduled task	gMSA installs and tests successfully on BJ-SRV01.	Install-ADServiceAccount gmsa-b5-report; Test-ADServiceAccount gmsa-b5-report	Test-ADServiceAccount returns True on BJ-SRV01.	Checked on BJ-SRV01 only.	0.20
BJ-SRV01	H-BJ-SRV01-02	Task 14	H. gMSA and scheduled task	Scheduled task B5-gMSA-Report runs as the gMSA and creates proof file.	Get-ScheduledTask -TaskName B5-gMSA-Report; Start-ScheduledTask B5-gMSA-Report; Get-Content C:\Skills\B5\gmsa-proof.txt	Task principal is NBB5\gmsa-b5-report$; proof file contains hostname and current date.	Do not award if task runs as Administrator.	0.25
SHA-CL01	H-SHA-CL01-01	Task 14/16	H. gMSA and scheduled task	Ansible gMSA validation playbook runs and reports per-host results.	From WSL: ansible-playbook playbooks/06-gmsa-validation.yml; review reports/SHA-FS01 and reports/BJ-SRV01	Evidence contains Test-ADServiceAccount and scheduled task status where applicable.	Report must separate SHA-FS01 and BJ-SRV01.	0.15
INET-CL01	I-INET-CL01-01	Task 15	I. Security isolation and external management blocking	WinRM from simulated Internet is blocked to domain controllers and member servers.	Test-NetConnection 10.25.20.10 -Port 5985; Test-NetConnection 10.35.20.10 -Port 5985; Test-NetConnection 10.25.20.20 -Port 5985; Test-NetConnection 10.35.20.20 -Port 5985	TcpTestSucceeded is False for all listed internal targets.	Use IP addresses, not hostnames.	0.25
INET-CL01	I-INET-CL01-02	Task 15	I. Security isolation and external management blocking	Management ports from simulated Internet are blocked to DMZ hosts.	Test-NetConnection 10.25.10.11 -Port 5985; Test-NetConnection 10.25.10.12 -Port 5985; Test-NetConnection 10.25.10.11 -Port 445; Test-NetConnection 10.25.10.12 -Port 445	TcpTestSucceeded is False for all listed DMZ management/SMB checks.	Do not accept DNS failures as proof; targets must be tested by IP.	0.25
SHA-CL01	I-SHA-CL01-01	Task 15	I. Security isolation and external management blocking	Internal management from SHA-CL01 works to all domain-managed hosts.	Test-WSMan SHA-DC01; Test-WSMan BJ-DC02; Test-WSMan SHA-FS01; Test-WSMan BJ-SRV01; Test-WSMan BJ-CL01	All Test-WSMan checks succeed from SHA-CL01.	This evaluates final management result; D rows evaluate per-host configuration.	0.20
INET-SRV01	I-INET-SRV01-01	Task 1/15	I. Security isolation and external management blocking	Simulated Internet reachability exists without exposing internal management.	From internal host: ping/test route to 198.18.200.10; from INET-SRV01: route print	Transport path to INET-SRV01 works for allowed diagnostic reachability while management remains blocked by I-INET-CL01 checks.	Do not require real Internet access.	0.15
SHA-CL01	I-SHA-CL01-02	Task 15/17	I. Security isolation and external management blocking	External isolation checks are documented in validation evidence.	Review C:\Skills\B5\B5-validation.txt and screenshots/log snippets if provided.	B5-validation.txt includes results for internal Test-WSMan and INET-CL01 blocking checks.	Evidence must cite IP-based tests.	0.15
SHA-CL01	J-SHA-CL01-01	Task 16	J. Ansible evidence collection and local submission	Ansible baseline deploy creates managed-by-ansible.txt on each managed host.	From WSL: ansible-playbook playbooks/02-baseline-deploy.yml; ansible b5_windows -m win_command -a 'type C:\Skills\B5\managed-by-ansible.txt'	Each managed domain host has C:\Skills\B5\managed-by-ansible.txt containing 'This host is managed by Ansible for B5.'	Managed hosts are SHA-DC01, BJ-DC02, SHA-FS01, BJ-SRV01, BJ-CL01.	0.25
SHA-CL01	J-SHA-CL01-02	Task 16	J. Ansible evidence collection and local submission	Collected b5-evidence.txt reports contain role-specific evidence, not empty placeholders.	Review ~/ansible-b5/reports/*/b5-evidence.txt	DC reports contain AD/DNS/Sites/LAPS; member server reports contain local admins/WinRM/firewall/LAPS/gMSA; workstation report contains AppLocker/LAPS/WinRM; BJ-SRV01 report contains BitLocker.	Award only if contents are readable and host-specific.	0.30
SHA-CL01	J-SHA-CL01-03	Task 17	J. Ansible evidence collection and local submission	Local submission folder contains required B5 scripts and Ansible project export.	dir C:\Skills\B5; dir C:\Skills\B5\ansible-b5-export	All required files are present: B5-foundation.ps1, B5-transport-dmz.ps1, B5-ad-sites.ps1, B5-ad-objects.ps1, B5-gpo-baseline.ps1, B5-laps.ps1, B5-applocker.ps1, B5-bitlocker.ps1, B5-gmsa.ps1, ansible-b5-export.	Scripts must reflect actual configuration; they need not rebuild the whole lab unattended.	0.25
SHA-CL01	J-SHA-CL01-04	Task 17	J. Ansible evidence collection and local submission	B5-validation.txt summarizes validation commands, results and known issues.	Get-Content C:\Skills\B5\B5-validation.txt	Includes commands, reachable Ansible hosts, transport/DMZ, LAPS, AppLocker, BitLocker, gMSA, external blocking and known issues.	Do not award if file is empty or generic.	0.20
